Id,Symbol,Name,Display Symbol,Exchange,Portfolio,Currency,Shares Owned,Cost Per Share,Commission,Transaction Date,Transaction Time,Purchase Exchange Rate,Type,Accounting,Accounting Execution Ids,Notes        
"46","SNN.BVB","SNN.BVB",,,"Portfolio","RON","22","45.06","0","2022-01-09 GMT+0200","21:05:00","0","Buy",,,
"47","SNN.BVB","SNN.BVB",,,"Portfolio","RON","23","44","0","2022-01-09 GMT+0200","21:14:00","0","Buy",,,
"48","SNN.BVB","SNN.BVB",,,"Portfolio","RON","23","45.55","0","2022-01-09 GMT+0200","21:18:00","0","Buy",,,
"49","SNN.BVB","SNN.BVB",,,"Portfolio","RON","44","44.45","0","2022-01-09 GMT+0200","21:19:00","0","Buy",,,
"50","SNN.BVB","SNN.BVB",,,"Portfolio","RON","262.5","0","0","2022-06-23 GMT+0300","21:47:00","0","Dividend","FIFO",,
        
"51","TVBETETF","TVBETETF",,,"Portfolio","RON",,,,,,,,,,
"52","TVBETETF","TVBETETF",,,"Portfolio","RON","165","17.808","8.53","2022-01-09 GMT+0200","12:52:00","0","Buy",,,
"53","TVBETETF","TVBETETF",,,"Portfolio","RON","130","18.29","6","2022-01-09 GMT+0200","14:17:00","0","Buy",,,
"54","TVBETETF","TVBETETF",,,"Portfolio","RON","1042","16.57","0","2022-01-09 GMT+0200","21:06:00","0","Buy",,,
"55","TVBETETF","TVBETETF",,,"Portfolio","RON","110","18.03","0","2022-01-09 GMT+0200","21:07:00","0","Buy",,,
"56","TVBETETF","TVBETETF",,,"Portfolio","RON","112","17.87","0","2022-01-09 GMT+0200","21:14:00","0","Buy",,,
"57","TVBETETF","TVBETETF",,,"Portfolio","RON","110","17.96","0","2022-01-09 GMT+0200","21:17:00","0","Buy",,,
"58","TVBETETF","TVBETETF",,,"Portfolio","RON","110","18.128","0","2022-01-09 GMT+0200","21:19:00","0","Buy",,,
"59","TVBETETF","TVBETETF",,,"Portfolio","RON","185","16.364","8.78","2022-10-10 GMT+0300","11:48:00","0","Buy",,,
        
"60","VUSD.L","Vanguard Funds Plc",,"LSE","Portfolio","USD",,,,,,,,,,
"61","VUSD.L","Vanguard Funds Plc",,"LSE","Portfolio","USD","4.889","78.89","0","2022-01-09 GMT+0200","21:27:00","4.716","Buy",,,
